,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
40,39,2018-01-03,DAL,Home,GSW,L,122,125,43,90,0.478,19,43,0.442,17,22,0.773,7,40,29,6,2,12,17,48,91,0.527,13,32,0.406,16,19,0.8420000000000001,7,46,36,8,7,14,21,1,0,117.5,120.4,103.8,0.244,0.478,0.612,46.5,67.4,5.8,3.4,0.583,10.7,15.2,0.18899999999999997,0.599,12.4,82.5,0.17600000000000002
41,40,2018-01-05,DAL,Home,CHI,L,124,127,49,92,0.5329999999999999,14,32,0.43799999999999994,12,17,0.706,7,34,33,11,2,13,24,44,78,0.564,14,28,0.5,25,32,0.7809999999999999,8,42,25,9,3,18,19,1,0,121.3,124.2,102.2,0.185,0.348,0.623,44.7,67.3,10.8,4.0,0.609,11.6,17.1,0.13,0.654,16.4,77.1,0.321
44,41,2018-01-07,DAL,Home,NYK,L,96,100,35,92,0.38,6,24,0.25,20,24,0.833,9,40,22,7,3,7,20,38,83,0.45799999999999996,6,16,0.375,18,20,0.9,10,59,22,4,6,16,23,1,0,98.8,102.9,97.2,0.261,0.261,0.46799999999999997,40.4,62.9,7.2,4.5,0.413,6.4,15.5,0.217,0.494,14.8,75.6,0.217
45,42,2018-01-09,DAL,Home,ORL,W,114,99,43,83,0.518,9,26,0.34600000000000003,19,22,0.8640000000000001,5,38,27,6,2,4,22,36,79,0.456,11,29,0.379,16,22,0.727,9,41,27,2,4,13,23,1,1,126.0,109.4,90.5,0.265,0.313,0.615,48.1,62.8,6.6,4.0,0.5720000000000001,4.1,13.5,0.22899999999999998,0.525,12.8,78.6,0.203
46,43,2018-01-10,DAL,Away,CHO,W,115,111,39,83,0.47,15,36,0.41700000000000004,22,28,0.7859999999999999,3,39,23,7,7,8,22,43,84,0.512,10,26,0.385,15,30,0.5,4,43,16,6,5,11,22,0,1,114.2,110.2,100.7,0.337,0.434,0.603,47.6,59.0,6.9,12.1,0.56,7.7,7.1,0.265,0.5710000000000001,10.2,90.0,0.179
47,44,2018-01-13,DAL,Home,LAL,L,101,107,34,90,0.37799999999999995,11,43,0.256,22,28,0.7859999999999999,4,39,20,5,1,8,17,43,95,0.45299999999999996,8,26,0.308,13,18,0.722,11,59,24,4,0,14,31,1,0,97.4,103.1,94.0,0.311,0.478,0.494,39.8,58.8,4.8,1.4,0.439,7.3,7.7,0.244,0.495,12.0,76.1,0.13699999999999998
48,45,2018-01-16,DAL,Away,DEN,L,102,105,38,78,0.48700000000000004,8,27,0.29600000000000004,18,22,0.818,5,35,17,10,3,16,24,40,86,0.465,8,26,0.308,17,26,0.654,15,47,23,10,3,18,23,0,0,104.6,107.7,97.5,0.282,0.34600000000000003,0.5820000000000001,42.7,44.7,10.3,5.0,0.5379999999999999,15.4,13.5,0.231,0.512,15.6,66.7,0.198
49,46,2018-01-20,DAL,Away,POR,L,108,117,38,83,0.45799999999999996,10,25,0.4,22,28,0.7859999999999999,11,37,19,9,5,9,21,45,86,0.523,18,36,0.5,9,10,0.9,9,40,19,3,3,14,23,0,0,117.8,127.7,91.7,0.337,0.301,0.5670000000000001,48.1,50.0,9.8,10.0,0.518,8.6,26.2,0.265,0.628,13.4,74.3,0.105
50,47,2018-01-22,DAL,Home,WAS,W,98,75,38,87,0.43700000000000006,10,31,0.32299999999999995,12,17,0.706,9,52,20,9,9,11,21,26,86,0.302,7,32,0.21899999999999997,16,27,0.593,17,47,15,7,5,12,18,1,1,106.9,81.8,91.7,0.195,0.35600000000000004,0.519,52.5,52.6,9.8,16.7,0.494,10.4,23.1,0.138,0.34299999999999997,10.9,71.7,0.18600000000000003
51,48,2018-01-24,DAL,Home,HOU,L,97,104,35,82,0.42700000000000005,15,35,0.429,12,18,0.667,9,49,24,5,2,13,21,36,82,0.439,21,51,0.41200000000000003,11,23,0.478,7,43,20,8,3,9,19,1,0,104.9,112.4,92.5,0.22,0.42700000000000005,0.539,53.3,68.6,5.4,6.5,0.518,12.6,20.0,0.146,0.5670000000000001,8.9,85.1,0.134
