,G,Date,Team,Home/Away,Opp,W/L,Team Score,Oponent Score,Team FG,Team FGA,Team FG%,Team 3P,Team 3PA,Team 3P%,Team FT,Team FTA,Team FT%,Team ORB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,PF,Opponent FG,Opponent FGA,Opponent FG%,Opponent 3P,Opponent 3PA,Opponent 3P%,Opponent FT,Opponent FTA,Opponent FT%,Opponent ORB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Home Indicator,Win Indicator,Team ORtg,Team DRtg,Team Pace,Team FTr,Team 3PAr,Team TS%,Team TRB%,Team AST%,Team STL%,Team BLK%,Team eFG%,Team TOV%,Team ORB%,Team FT/FGA,Opponent eFG%,Opponent TOV%,Opponent DRB%,Opponent FT/FGA
15,16,2017-11-20,MIL,Home,WAS,L,88,99,35,79,0.44299999999999995,4,22,0.182,14,19,0.737,6,33,17,10,7,9,19,39,74,0.527,9,24,0.375,12,17,0.706,8,46,23,4,1,16,18,1,0,99.2,111.6,88.7,0.24100000000000002,0.278,0.504,41.8,48.6,11.3,14.0,0.46799999999999997,9.3,13.6,0.177,0.588,16.4,77.1,0.162
16,17,2017-11-22,MIL,Away,PHO,W,113,107,42,97,0.433,8,29,0.276,21,31,0.677,13,42,19,16,6,14,30,37,93,0.39799999999999996,7,22,0.318,26,33,0.7879999999999999,22,60,15,7,9,29,26,0,1,103.8,98.3,98.6,0.32,0.299,0.511,41.2,45.2,14.7,8.5,0.474,11.2,25.5,0.21600000000000003,0.435,21.2,56.9,0.28
17,18,2017-11-25,MIL,Away,UTA,L,108,121,41,77,0.532,8,21,0.381,18,23,0.7829999999999999,8,40,19,5,6,16,21,46,81,0.568,18,32,0.563,11,19,0.579,5,30,31,8,2,10,19,0,0,115.9,129.8,93.2,0.299,0.273,0.62,57.1,46.3,5.4,12.2,0.584,15.5,24.2,0.23399999999999999,0.679,10.1,86.5,0.136
18,19,2017-11-28,MIL,Away,SAC,W,112,87,42,71,0.5920000000000001,9,22,0.409,19,31,0.613,1,38,27,13,5,12,22,31,77,0.40299999999999997,5,17,0.294,20,29,0.69,9,40,15,5,2,16,21,0,1,118.3,91.9,94.7,0.43700000000000006,0.31,0.662,48.7,64.3,13.7,8.3,0.655,12.4,3.1,0.268,0.435,15.1,80.4,0.26
19,20,2017-11-30,MIL,Away,POR,W,103,91,42,87,0.483,6,20,0.3,13,15,0.867,5,35,19,11,5,9,20,35,83,0.42200000000000004,6,23,0.261,15,17,0.882,10,50,17,5,3,19,14,0,1,107.0,94.5,96.3,0.172,0.23,0.55,41.2,45.2,11.4,8.3,0.517,8.8,11.1,0.149,0.45799999999999996,17.4,75.0,0.18100000000000002
22,21,2017-12-02,MIL,Home,SAC,W,109,104,34,69,0.493,6,19,0.316,35,42,0.833,9,36,20,9,6,15,18,37,77,0.48100000000000004,11,24,0.45799999999999996,19,21,0.905,6,33,20,7,1,15,28,1,1,118.4,113.0,92.0,0.609,0.275,0.623,52.2,58.8,9.8,11.3,0.536,14.6,25.0,0.507,0.552,14.8,81.8,0.247
23,22,2017-12-04,MIL,Away,BOS,L,100,111,35,78,0.449,9,21,0.429,21,24,0.875,3,28,17,6,2,9,17,43,78,0.551,10,22,0.455,15,19,0.789,8,45,25,5,3,14,20,0,0,108.9,120.9,91.8,0.308,0.26899999999999996,0.565,38.4,48.6,6.5,3.6,0.506,9.2,7.5,0.26899999999999996,0.615,13.9,75.8,0.192
24,23,2017-12-06,MIL,Home,DET,W,104,100,39,79,0.494,8,22,0.364,18,26,0.6920000000000001,13,41,22,7,5,12,21,36,87,0.414,10,30,0.33299999999999996,18,27,0.667,17,46,20,5,0,11,20,1,1,118.0,113.4,88.2,0.32899999999999996,0.278,0.575,47.1,56.4,7.9,8.8,0.544,11.7,31.0,0.228,0.47100000000000003,10.0,62.2,0.207
25,24,2017-12-08,MIL,Home,DAL,W,109,102,36,79,0.456,8,24,0.33299999999999996,29,34,0.853,7,40,20,10,6,10,24,35,75,0.467,10,24,0.41700000000000004,22,26,0.846,4,36,18,6,2,11,22,1,1,117.1,109.6,93.1,0.43,0.304,0.58,52.6,55.6,10.7,11.8,0.506,9.6,17.9,0.36700000000000005,0.5329999999999999,11.3,89.2,0.293
26,25,2017-12-09,MIL,Home,UTA,W,117,100,44,81,0.5429999999999999,7,17,0.41200000000000003,22,26,0.846,8,41,22,8,6,11,29,33,76,0.434,8,23,0.348,26,37,0.703,9,35,20,7,3,16,23,1,1,123.1,105.2,95.0,0.321,0.21,0.633,53.9,50.0,8.4,11.3,0.586,10.6,23.5,0.272,0.48700000000000004,14.8,78.6,0.342
27,26,2017-12-13,MIL,Away,NOP,L,108,115,44,95,0.46299999999999997,8,27,0.29600000000000004,12,19,0.632,15,38,23,14,5,9,13,45,80,0.563,13,25,0.52,12,15,0.8,9,41,35,5,8,21,16,0,0,113.3,120.6,95.3,0.2,0.284,0.522,48.1,52.3,14.7,9.1,0.505,8.0,31.9,0.126,0.644,19.5,71.9,0.15
28,27,2017-12-15,MIL,Home,CHI,L,109,115,40,83,0.48200000000000004,9,33,0.273,20,29,0.69,9,43,24,6,5,11,24,42,86,0.488,8,22,0.364,23,35,0.657,14,50,24,8,0,12,26,1,0,112.0,118.2,97.3,0.349,0.39799999999999996,0.569,46.2,60.0,6.2,7.8,0.536,10.3,20.0,0.24100000000000002,0.535,10.6,70.8,0.267
29,28,2017-12-16,MIL,Away,HOU,L,111,115,38,82,0.46299999999999997,8,27,0.29600000000000004,27,33,0.818,8,40,17,12,7,14,34,35,76,0.461,11,35,0.314,34,42,0.81,4,38,16,7,4,15,23,0,0,109.3,113.2,101.6,0.402,0.32899999999999996,0.575,51.3,44.7,11.8,17.1,0.512,12.7,19.0,0.32899999999999996,0.5329999999999999,13.7,88.9,0.447
30,29,2017-12-19,MIL,Home,CLE,W,119,116,43,82,0.524,11,29,0.379,22,27,0.815,8,40,27,12,3,14,18,40,80,0.5,16,41,0.39,20,24,0.833,7,37,26,9,3,14,20,1,1,122.7,119.6,97.0,0.32899999999999996,0.354,0.634,51.9,62.8,12.4,7.7,0.591,13.0,21.1,0.268,0.6,13.4,82.1,0.25
31,30,2017-12-22,MIL,Home,CHO,W,109,104,41,87,0.47100000000000003,8,29,0.276,19,23,0.826,6,43,27,7,5,7,16,39,88,0.44299999999999995,12,26,0.462,14,17,0.8240000000000001,9,43,21,4,7,9,18,1,1,115.1,109.8,94.7,0.264,0.33299999999999996,0.561,50.0,65.9,7.4,8.1,0.517,6.7,15.0,0.218,0.511,8.6,80.4,0.159
32,31,2017-12-23,MIL,Away,CHO,L,106,111,42,87,0.483,8,26,0.308,14,17,0.8240000000000001,7,35,25,4,2,9,32,36,74,0.486,9,21,0.429,30,40,0.75,9,43,22,2,7,16,20,0,0,111.2,116.4,95.3,0.195,0.299,0.561,44.9,59.5,4.2,3.8,0.529,8.7,17.1,0.161,0.547,14.9,75.7,0.405
33,32,2017-12-26,MIL,Home,CHI,L,106,115,39,83,0.47,10,31,0.32299999999999995,18,24,0.75,4,41,23,2,8,17,21,45,103,0.43700000000000006,10,28,0.35700000000000004,15,25,0.6,15,47,26,11,3,6,19,1,0,103.2,111.9,102.7,0.289,0.373,0.5660000000000001,46.6,59.0,1.9,10.7,0.53,15.4,11.1,0.217,0.485,5.0,71.2,0.146
34,33,2017-12-28,MIL,Home,MIN,W,102,96,41,75,0.547,5,15,0.33299999999999996,15,16,0.938,7,36,23,10,0,16,18,34,71,0.479,9,28,0.321,19,26,0.731,6,33,20,9,3,16,14,1,1,113.0,106.4,90.3,0.213,0.2,0.622,52.2,56.1,11.1,0.0,0.58,16.3,20.6,0.2,0.542,16.3,82.9,0.268
35,34,2017-12-29,MIL,Away,OKC,W,97,95,40,85,0.47100000000000003,9,29,0.31,8,17,0.47100000000000003,12,43,26,9,7,9,23,38,83,0.45799999999999996,7,25,0.28,12,21,0.5710000000000001,10,45,16,5,5,12,19,0,1,107.7,105.5,90.1,0.2,0.341,0.524,48.9,65.0,10.0,12.1,0.524,8.9,25.5,0.094,0.5,11.5,75.6,0.145
36,35,2018-01-01,MIL,Away,TOR,L,127,131,44,93,0.473,13,27,0.48100000000000004,26,28,0.929,10,43,27,9,3,14,23,45,91,0.495,14,33,0.424,27,33,0.818,6,40,25,8,8,12,20,0,0,118.2,121.9,97.3,0.301,0.29,0.603,51.8,61.4,8.4,5.2,0.5429999999999999,11.7,22.7,0.28,0.5710000000000001,10.2,84.6,0.297
37,36,2018-01-03,MIL,Home,IND,W,122,101,44,75,0.5870000000000001,9,17,0.529,25,28,0.893,6,34,33,8,5,16,23,41,84,0.488,3,15,0.2,16,19,0.8420000000000001,8,30,24,7,2,14,20,1,1,128.1,106.1,95.2,0.373,0.22699999999999998,0.6990000000000001,53.1,75.0,8.4,7.2,0.647,15.5,21.4,0.33299999999999996,0.506,13.2,77.8,0.19
38,37,2018-01-05,MIL,Home,TOR,L,110,129,41,77,0.532,7,17,0.41200000000000003,21,29,0.7240000000000001,5,28,26,4,4,11,23,48,86,0.5579999999999999,10,33,0.303,23,28,0.821,12,43,25,9,5,11,22,1,0,116.7,136.9,94.3,0.377,0.221,0.613,39.4,63.4,4.2,7.5,0.578,10.9,13.9,0.273,0.616,10.1,65.7,0.267
39,38,2018-01-06,MIL,Away,WAS,W,110,103,39,80,0.488,7,22,0.318,25,30,0.833,10,45,20,11,6,15,26,37,78,0.474,8,21,0.381,21,29,0.7240000000000001,4,34,25,6,6,14,22,0,1,112.7,105.6,97.6,0.375,0.275,0.59,57.0,51.3,11.3,10.5,0.531,13.9,25.0,0.313,0.526,13.4,89.7,0.26899999999999996
40,39,2018-01-08,MIL,Away,IND,L,96,109,34,74,0.45899999999999996,7,27,0.259,21,27,0.778,5,34,18,11,4,17,24,44,79,0.557,7,22,0.318,14,20,0.7,8,40,30,9,5,16,23,0,0,100.6,114.2,95.5,0.365,0.365,0.5589999999999999,45.9,52.9,11.5,7.0,0.507,16.5,13.5,0.284,0.601,15.4,78.4,0.177
41,40,2018-01-10,MIL,Home,ORL,W,110,103,45,82,0.5489999999999999,4,19,0.21100000000000002,16,25,0.64,11,47,20,4,9,14,21,39,90,0.433,8,29,0.276,17,18,0.9440000000000001,8,34,26,6,4,8,21,1,1,116.1,108.7,94.8,0.305,0.23199999999999998,0.591,58.0,44.4,4.2,14.8,0.573,13.1,29.7,0.195,0.478,7.6,81.8,0.18899999999999997
44,41,2018-01-12,MIL,Home,GSW,L,94,108,36,85,0.424,11,28,0.39299999999999996,11,12,0.917,8,33,21,9,6,12,20,44,79,0.557,5,15,0.33299999999999996,15,18,0.833,10,43,28,7,3,11,13,1,0,105.6,121.3,89.0,0.141,0.32899999999999996,0.521,43.4,58.3,10.1,9.4,0.488,11.7,19.5,0.129,0.589,11.2,71.4,0.19
45,42,2018-01-14,MIL,Away,MIA,L,79,97,25,79,0.316,4,28,0.14300000000000002,25,27,0.9259999999999999,8,40,9,8,1,15,23,35,76,0.461,11,29,0.379,16,20,0.8,3,49,23,8,8,13,18,0,0,83.4,102.4,94.7,0.342,0.354,0.435,44.9,36.0,8.4,2.1,0.342,14.2,14.8,0.316,0.5329999999999999,13.3,91.4,0.21100000000000002
46,43,2018-01-15,MIL,Away,WAS,W,104,95,38,81,0.469,8,16,0.5,20,29,0.69,15,44,21,14,6,17,25,32,76,0.42100000000000004,6,21,0.28600000000000003,25,31,0.8059999999999999,11,39,19,10,8,23,22,0,1,108.3,99.0,96.0,0.358,0.198,0.555,53.0,55.3,14.6,10.9,0.519,15.3,34.9,0.247,0.461,20.4,72.5,0.32899999999999996
47,44,2018-01-17,MIL,Home,MIA,L,101,106,33,76,0.434,11,28,0.39299999999999996,24,32,0.75,5,38,23,6,4,9,25,38,82,0.46299999999999997,10,24,0.41700000000000004,20,27,0.741,10,46,28,4,7,15,28,1,0,106.9,112.1,94.5,0.42100000000000004,0.368,0.561,45.2,69.7,6.3,6.9,0.507,9.1,12.2,0.316,0.524,13.8,76.7,0.244
48,45,2018-01-20,MIL,Away,PHI,L,94,116,33,82,0.402,10,32,0.313,18,22,0.818,8,35,20,10,3,17,20,45,85,0.529,10,25,0.4,16,19,0.8420000000000001,11,45,32,9,4,16,18,0,0,96.9,119.6,97.0,0.268,0.39,0.513,43.8,60.6,10.3,5.0,0.46299999999999997,15.6,19.0,0.22,0.588,14.6,71.1,0.188
49,46,2018-01-22,MIL,Home,PHO,W,109,105,38,71,0.535,5,17,0.294,28,37,0.757,8,32,20,14,5,17,22,39,79,0.494,9,26,0.34600000000000003,18,20,0.9,9,34,31,12,2,21,26,1,1,114.4,110.2,95.3,0.521,0.239,0.624,48.5,52.6,14.7,9.4,0.57,16.3,24.2,0.39399999999999996,0.551,19.3,72.7,0.228
50,47,2018-01-26,MIL,Home,BRK,W,116,91,43,83,0.518,12,23,0.522,18,20,0.9,3,44,28,9,6,9,17,33,89,0.371,8,34,0.235,17,20,0.85,11,45,18,5,2,14,19,1,1,119.1,93.4,97.4,0.24100000000000002,0.27699999999999997,0.632,49.4,65.1,9.2,10.9,0.59,8.9,8.1,0.217,0.41600000000000004,12.5,78.8,0.191
51,48,2018-01-28,MIL,Away,CHI,W,110,96,41,77,0.532,13,28,0.46399999999999997,15,25,0.6,7,43,28,11,4,14,16,36,87,0.414,12,34,0.353,12,15,0.8,10,41,25,8,2,16,18,0,1,115.2,100.5,95.5,0.325,0.364,0.625,51.2,68.3,11.5,7.5,0.617,13.7,18.4,0.195,0.483,14.6,78.3,0.138
52,49,2018-01-29,MIL,Home,PHI,W,107,95,38,80,0.475,11,28,0.39299999999999996,20,22,0.909,8,42,26,6,8,9,19,36,82,0.439,2,26,0.077,21,23,0.9129999999999999,10,43,22,5,4,14,17,1,1,116.9,103.8,91.5,0.275,0.35,0.597,49.4,68.4,6.6,14.3,0.544,9.1,19.5,0.25,0.451,13.2,77.3,0.256
53,50,2018-02-01,MIL,Away,MIN,L,89,108,32,85,0.376,6,29,0.207,19,25,0.76,15,43,19,6,1,15,21,42,78,0.5379999999999999,7,19,0.368,17,20,0.85,4,39,27,8,7,13,15,0,0,95.1,115.4,93.6,0.294,0.341,0.46399999999999997,52.4,59.4,6.4,1.7,0.41200000000000003,13.5,30.0,0.22399999999999998,0.583,13.0,87.5,0.218
54,51,2018-02-02,MIL,Home,NYK,W,92,90,33,76,0.434,7,24,0.292,19,26,0.731,4,36,18,10,8,11,21,36,89,0.40399999999999997,5,25,0.2,13,17,0.765,18,57,24,7,4,18,21,1,1,98.7,96.5,93.3,0.342,0.316,0.526,38.7,54.5,10.7,12.5,0.48,11.2,9.3,0.25,0.433,15.7,64.0,0.146
55,52,2018-02-04,MIL,Away,BRK,W,109,94,42,81,0.519,8,19,0.42100000000000004,17,21,0.81,14,54,19,3,7,13,16,37,90,0.41100000000000003,9,29,0.31,11,14,0.7859999999999999,11,36,25,5,1,9,19,0,1,121.3,104.6,89.9,0.259,0.235,0.604,60.0,45.2,3.3,11.5,0.568,12.6,35.9,0.21,0.461,8.6,78.4,0.122
56,53,2018-02-06,MIL,Away,NYK,W,103,89,37,82,0.451,8,26,0.308,21,27,0.778,8,43,23,11,6,14,17,37,89,0.41600000000000004,5,23,0.217,10,15,0.667,11,47,20,5,6,17,19,0,1,104.7,90.5,98.4,0.32899999999999996,0.317,0.5489999999999999,47.8,62.2,11.2,9.1,0.5,13.0,18.2,0.256,0.444,15.1,76.1,0.11199999999999999
57,54,2018-02-09,MIL,Away,MIA,L,85,91,32,76,0.42100000000000004,6,20,0.3,15,17,0.882,2,37,18,9,9,17,20,32,88,0.364,10,26,0.385,17,18,0.9440000000000001,13,51,16,7,7,16,21,0,0,88.3,94.6,96.2,0.22399999999999998,0.263,0.509,42.0,56.3,9.4,14.5,0.461,16.9,5.0,0.19699999999999998,0.42,14.3,72.9,0.193
58,55,2018-02-10,MIL,Away,ORL,W,111,104,43,82,0.524,9,25,0.36,16,20,0.8,8,41,28,7,4,12,16,37,83,0.446,8,30,0.267,22,26,0.846,10,41,23,7,3,12,14,0,1,118.5,111.0,93.7,0.244,0.305,0.611,50.0,65.1,7.5,7.5,0.579,11.7,20.5,0.195,0.494,11.3,76.7,0.265
0,1,2017-10-18,MIN,Away,SAS,L,99,107,37,85,0.435,8,19,0.42100000000000004,17,23,0.7390000000000001,11,42,23,7,4,13,16,41,89,0.461,8,21,0.381,17,19,0.895,12,50,22,8,11,11,18,0,0,104.8,113.3,94.5,0.271,0.22399999999999998,0.52,45.7,62.2,7.4,5.9,0.48200000000000004,12.0,22.4,0.2,0.506,10.2,72.1,0.191
1,2,2017-10-20,MIN,Home,UTA,W,100,97,36,81,0.444,7,22,0.318,21,26,0.8079999999999999,10,44,17,11,2,15,17,37,77,0.48100000000000004,9,22,0.409,14,17,0.8240000000000001,7,38,23,10,8,19,21,1,1,105.2,102.0,95.1,0.321,0.272,0.541,53.7,47.2,11.6,3.6,0.488,14.0,24.4,0.259,0.539,18.4,82.9,0.182
2,3,2017-10-22,MIN,Away,OKC,W,115,113,43,86,0.5,10,25,0.4,19,23,0.826,10,45,25,5,1,17,17,46,96,0.479,11,31,0.355,10,16,0.625,9,36,26,9,6,11,22,0,1,113.7,111.8,101.1,0.267,0.29100000000000004,0.598,55.6,58.1,4.9,1.5,0.5579999999999999,15.0,27.0,0.221,0.536,9.6,79.5,0.10400000000000001
3,4,2017-10-24,MIN,Home,IND,L,107,130,42,86,0.488,9,24,0.375,14,22,0.636,9,27,27,9,4,14,14,56,84,0.667,10,22,0.455,8,11,0.727,8,42,31,8,2,17,21,1,0,109.7,133.2,97.6,0.256,0.27899999999999997,0.5589999999999999,39.1,64.3,9.2,6.5,0.541,12.8,20.9,0.163,0.726,16.1,69.2,0.095
4,5,2017-10-25,MIN,Away,DET,L,101,122,37,85,0.435,9,25,0.36,18,21,0.857,7,37,19,5,4,14,19,48,92,0.522,15,34,0.441,11,17,0.647,12,47,32,7,3,14,22,0,0,101.9,123.1,99.1,0.247,0.294,0.536,44.0,51.4,5.0,6.9,0.488,12.9,16.7,0.212,0.603,12.3,71.4,0.12
5,6,2017-10-27,MIN,Home,OKC,W,119,116,42,86,0.488,8,22,0.364,27,35,0.7709999999999999,17,44,23,5,7,15,21,43,86,0.5,8,28,0.28600000000000003,22,25,0.88,11,35,19,8,9,14,29,1,1,123.9,120.7,96.1,0.40700000000000003,0.256,0.5870000000000001,55.7,54.8,5.2,12.1,0.535,12.9,41.5,0.314,0.547,12.6,71.1,0.256
6,7,2017-10-30,MIN,Away,MIA,W,125,122,41,91,0.451,11,23,0.478,32,35,0.914,10,40,20,16,4,16,25,49,93,0.527,7,27,0.259,17,25,0.68,15,49,17,8,5,24,28,0,1,113.6,110.8,99.7,0.385,0.253,0.5870000000000001,44.9,48.8,14.5,6.1,0.511,13.1,22.7,0.35200000000000004,0.565,18.8,66.7,0.183
7,8,2017-11-01,MIN,Away,NOP,W,104,98,41,83,0.494,6,22,0.273,16,24,0.667,11,47,20,13,3,21,21,36,84,0.429,8,31,0.258,18,21,0.857,9,38,27,13,4,19,24,0,1,102.8,96.9,101.2,0.289,0.265,0.556,55.3,48.8,12.8,5.7,0.53,18.3,27.5,0.193,0.47600000000000003,16.9,80.0,0.214
8,9,2017-11-04,MIN,Home,DAL,W,112,99,43,79,0.544,10,24,0.41700000000000004,16,20,0.8,10,48,33,7,8,18,20,40,86,0.465,10,27,0.37,9,12,0.75,7,31,18,7,2,16,19,1,1,116.2,102.7,96.4,0.253,0.304,0.638,60.8,76.7,7.3,13.6,0.608,17.0,29.4,0.203,0.523,14.9,84.4,0.105
9,10,2017-11-05,MIN,Home,CHO,W,112,94,38,83,0.45799999999999996,10,24,0.41700000000000004,26,30,0.867,12,54,20,4,4,16,19,37,89,0.41600000000000004,9,28,0.321,11,21,0.524,10,40,24,8,3,11,24,1,1,114.9,96.4,97.5,0.361,0.289,0.5820000000000001,57.4,52.6,4.1,6.6,0.518,14.3,28.6,0.313,0.466,10.1,80.8,0.124
10,11,2017-11-08,MIN,Away,GSW,L,101,125,38,92,0.413,5,24,0.20800000000000002,20,27,0.741,9,41,21,15,0,13,14,48,85,0.565,15,36,0.41700000000000004,14,18,0.778,3,45,37,10,9,19,23,0,0,94.7,117.1,106.7,0.293,0.261,0.486,47.7,55.3,14.1,0.0,0.44,11.1,17.6,0.217,0.653,17.0,91.4,0.165
11,12,2017-11-11,MIN,Away,PHO,L,110,118,39,96,0.406,4,20,0.2,28,35,0.8,19,47,16,12,4,11,21,46,86,0.535,10,26,0.385,16,24,0.667,7,46,21,4,10,18,25,0,0,106.8,114.5,103.0,0.365,0.20800000000000002,0.494,50.5,41.0,11.6,6.7,0.42700000000000005,9.0,32.8,0.292,0.593,15.7,80.0,0.18600000000000003
12,13,2017-11-13,MIN,Away,UTA,W,109,98,37,71,0.521,10,20,0.5,25,29,0.862,5,40,22,9,5,15,13,37,84,0.44,14,40,0.35,10,11,0.909,8,31,23,8,4,15,23,0,1,117.7,105.9,92.6,0.408,0.282,0.6509999999999999,56.3,59.5,9.7,11.4,0.5920000000000001,15.2,17.9,0.35200000000000004,0.524,14.4,81.4,0.11900000000000001
13,14,2017-11-15,MIN,Home,SAS,W,98,86,39,87,0.44799999999999995,9,18,0.5,11,16,0.688,11,41,27,9,4,6,16,33,79,0.418,7,24,0.292,13,15,0.867,13,45,20,4,4,16,18,1,1,113.7,99.8,86.2,0.184,0.207,0.521,47.7,69.2,10.4,7.3,0.5,6.0,25.6,0.126,0.462,15.7,69.8,0.165
14,15,2017-11-17,MIN,Away,DAL,W,111,87,39,84,0.46399999999999997,13,30,0.433,20,23,0.87,11,48,27,7,0,10,18,32,86,0.37200000000000005,8,38,0.21100000000000002,15,17,0.882,11,41,18,3,3,11,20,0,1,122.8,96.2,90.4,0.27399999999999997,0.35700000000000004,0.59,53.9,69.2,7.7,0.0,0.542,9.6,26.8,0.23800000000000002,0.419,10.5,77.1,0.174
15,16,2017-11-19,MIN,Home,DET,L,97,100,40,78,0.513,5,22,0.22699999999999998,12,18,0.667,6,38,23,11,4,20,20,39,83,0.47,8,25,0.32,14,20,0.7,11,37,25,10,2,19,21,1,0,99.2,102.3,97.8,0.231,0.282,0.564,50.7,57.5,11.3,6.9,0.545,18.9,18.8,0.154,0.518,17.1,74.4,0.16899999999999998
16,17,2017-11-20,MIN,Away,CHO,L,102,118,37,90,0.41100000000000003,6,27,0.222,22,26,0.846,10,38,13,8,6,10,21,42,85,0.494,11,26,0.423,23,29,0.7929999999999999,11,52,22,5,7,17,18,0,0,102.0,118.1,100.0,0.289,0.3,0.503,42.2,35.1,8.0,10.2,0.444,9.0,19.6,0.244,0.5589999999999999,14.8,71.8,0.271
17,18,2017-11-22,MIN,Home,ORL,W,124,118,40,87,0.46,8,23,0.348,36,45,0.8,10,42,22,9,3,7,17,46,91,0.505,12,37,0.324,14,22,0.636,7,44,28,4,4,14,31,1,1,120.1,114.3,103.2,0.517,0.264,0.581,48.8,55.0,8.7,5.6,0.506,6.2,21.3,0.414,0.5710000000000001,12.2,82.1,0.154
18,19,2017-11-24,MIN,Home,MIA,L,97,109,37,84,0.44,7,17,0.41200000000000003,16,26,0.615,13,44,21,9,3,10,16,38,80,0.475,19,39,0.48700000000000004,14,16,0.875,9,42,29,4,4,13,24,1,0,108.1,121.5,89.7,0.31,0.20199999999999999,0.508,51.2,56.8,10.0,7.3,0.48200000000000004,9.5,28.3,0.19,0.594,13.0,77.5,0.175
19,20,2017-11-26,MIN,Home,PHO,W,119,108,49,93,0.527,9,21,0.429,12,17,0.706,19,48,24,12,5,10,14,43,85,0.506,13,26,0.5,9,12,0.75,11,37,25,6,1,15,20,1,1,130.5,118.4,91.2,0.183,0.226,0.5920000000000001,56.5,49.0,13.2,8.5,0.575,9.1,42.2,0.129,0.5820000000000001,14.2,72.5,0.106
22,21,2017-11-28,MIN,Home,WAS,L,89,92,35,85,0.41200000000000003,10,30,0.33299999999999996,9,14,0.643,13,49,27,3,1,10,17,36,83,0.434,10,28,0.35700000000000004,10,17,0.588,9,44,23,5,4,7,16,1,0,103.0,106.4,86.4,0.165,0.353,0.488,52.7,77.1,3.5,1.8,0.47100000000000003,9.9,27.1,0.106,0.494,7.2,80.0,0.12
23,22,2017-11-29,MIN,Away,NOP,W,120,102,47,81,0.58,9,23,0.391,17,19,0.895,10,44,30,10,1,17,14,39,84,0.46399999999999997,14,35,0.4,10,11,0.909,8,28,27,8,2,16,17,0,1,127.2,108.1,94.4,0.235,0.284,0.6709999999999999,61.1,63.8,10.6,2.0,0.636,16.0,33.3,0.21,0.5479999999999999,15.3,81.0,0.11900000000000001
24,23,2017-12-01,MIN,Away,OKC,L,107,111,39,76,0.513,12,24,0.5,17,21,0.81,6,26,26,7,5,16,20,41,79,0.519,8,26,0.308,21,22,0.955,13,42,28,7,7,18,24,0,0,116.7,121.0,91.7,0.276,0.316,0.628,38.2,66.7,7.6,9.4,0.5920000000000001,15.8,17.1,0.22399999999999998,0.57,16.9,60.6,0.266
25,24,2017-12-03,MIN,Home,LAC,W,112,106,38,88,0.43200000000000005,8,26,0.308,28,31,0.903,14,42,22,9,1,7,16,37,73,0.507,15,34,0.441,17,22,0.773,8,37,21,3,7,16,26,1,1,125.0,118.3,89.6,0.35200000000000004,0.295,0.551,53.2,57.9,10.0,2.6,0.47700000000000004,6.4,32.6,0.318,0.61,16.2,77.8,0.233
26,25,2017-12-04,MIN,Away,MEM,L,92,95,35,79,0.44299999999999995,4,17,0.235,18,19,0.9470000000000001,7,34,17,9,2,9,16,34,72,0.47200000000000003,6,21,0.28600000000000003,21,24,0.875,6,41,22,6,8,16,22,0,0,103.4,106.8,89.0,0.24100000000000002,0.215,0.527,45.3,48.6,10.1,3.9,0.46799999999999997,9.3,16.7,0.228,0.514,16.2,81.8,0.292
27,26,2017-12-06,MIN,Away,LAC,W,113,107,45,82,0.5489999999999999,7,19,0.368,16,21,0.762,8,46,29,4,7,15,17,44,99,0.444,10,32,0.313,9,15,0.6,17,43,23,6,3,9,17,0,1,117.8,111.5,95.9,0.256,0.23199999999999998,0.619,51.7,64.4,4.2,10.4,0.591,14.1,23.5,0.195,0.495,7.9,69.1,0.091
28,27,2017-12-10,MIN,Home,DAL,W,97,92,36,72,0.5,7,19,0.368,18,23,0.7829999999999999,9,45,19,7,2,18,19,37,81,0.457,11,31,0.355,7,9,0.778,6,33,23,6,5,10,22,1,1,109.3,103.7,88.7,0.319,0.264,0.591,57.7,52.8,7.9,4.0,0.5489999999999999,18.0,25.0,0.25,0.525,10.5,85.7,0.086
29,28,2017-12-12,MIN,Home,PHI,L,112,118,44,108,0.40700000000000003,5,29,0.172,19,27,0.7040000000000001,17,50,19,14,7,10,21,40,80,0.5,11,26,0.423,27,32,0.8440000000000001,7,52,32,6,3,24,18,1,0,102.1,107.6,99.3,0.25,0.26899999999999996,0.467,49.0,43.2,12.8,13.0,0.431,7.7,27.4,0.17600000000000002,0.569,20.3,82.5,0.33799999999999997
30,29,2017-12-14,MIN,Home,SAC,W,119,96,46,82,0.561,10,21,0.47600000000000003,17,20,0.85,8,39,29,12,9,9,19,36,87,0.414,14,33,0.424,10,12,0.833,15,42,24,4,2,14,21,1,1,133.6,107.7,89.1,0.244,0.256,0.655,48.1,63.0,13.5,16.7,0.622,9.0,22.9,0.207,0.494,13.2,67.4,0.115
